,user,location,text
0,Magalette1,Germany,"RT @Mu_Ri_Elle: (Video in French, part 2).

""We thought that the numerous leaks in the media would turn people away from #PrinceHarry's mem…"
1,win_a_cup,"Toronto, Ontario ","RT @_marlanderthews: EXCLUSIVE: #NHLAllStarVote William Nylander states that he’s a big fan of #BTS, #TaylorSwift and #Velma. He also says…"
2,cestsanssucre,,"RT @cestsanssucre: In English, this translates directly to:

No matter what, whatever I say is my memory is the truth, and if not, it doesn…"
3,stevensrms,Houston ,"RT @NicsuPR: … “I couldn’t think of a single human being in the 300,000 year history of the species who’d done more damage to our collectiv…"
4,barchieshome,she/her | 20+,"”This book would’ve been impossible (logistically, physically, emotionally, spiritually) without you. Most things w… https://t.co/D84W9GcO3c"
5,MoleRachels,"Moletown, turn ➡️ at old nose","RT @Freedom16356531: Selfish, ungrateful and disingenuous!

When he doesn’t know the cameras are watching the true #PrinceHarry stands up 😶…"
6,Orangeade00,Son of Manchester,"RT @LunaSpencer16: As a Scouser, I have zero interest in William and Kate Middleton’s visit to Liverpool today. 

We don’t buy The Sun in t…"
7,DavidPonsford3,"Now lives Manchester, England","RT @richardaeden: How convenient for #PrinceHarry and #Meghan that a copy of #Spare has been leaked to the #Guardian, a newspaper that has…"
8,ClaudiaLizaTV,"London, England","Becoming a royal expert innit!

#Spare https://t.co/D2BkdJBqD6"
9,Maimuna99454050,,"RT @Freedom16356531: People in #America have had enough 🇺🇸 

#HarryisaBackstabbingLiar #Spare
#PrinceHarry #HarryandMeghan #HarryHasGoneMad…"
10,AgbobuJosephine,,RT @JoDivaRunner: Harry injured his knee participating in military exercises while on Royal duty and his entry into the military had to be…
11,Meritocraticist,,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
12,cestsanssucre,,"RT @cestsanssucre: Hearing him say it is so much worse. 🤢

Such a vivid account of a time he thought about his mum while he rubbed a cream…"
13,adm0,Scotland STILL YES :-),RT @ingek73: Meghan bought lamps and space heaters for the staff in their dark&amp;cold offices WITH HER OWN CREDITCARD?!?! Harry I love you bu…
14,BeHuman15047306,,"RT @PatriamQueen: Do the media and the rest of the world know that William also lost his mother, Diana, when he was just 15? And that he al…"
15,GregoryJMckenz4,,"RT @authorjpdumas: #ShamelessSelfpromoThursday

#WritingCommunity let’s do a #Writerslift       

Drop your #book #blog &amp; #podcast

Lets #R…"
16,hotfuzzkarine,radequilous,"RT @KarahFrancis: I’m speechless! The defamation against Meghan is beyond grotesque, the revelations get filthier with every layer, I’m act…"
17,lili_shtupp,,RT @daisdais_10: The British Royal Family dress like this but are silent when their media dogs are sympathizing with terrorists who killed…
18,LeafLife15,,"RT @_marlanderthews: EXCLUSIVE: #NHLAllStarVote William Nylander states that he’s a big fan of #BTS, #TaylorSwift and #Velma. He also says…"
19,JUMcQ789,London,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
20,Patrici81460203,,RT @Lorrie_1983: This bit on the scam that is the court circular and ‘royal engagements’ to claim they are ‘working’ and thereby justify th…
21,Francis11848,"Kensington, London","RT @ClaireTVnews: Wow this was awesome @colbertlateshow! Watched the GMA, 60 Minutes interviews, Netflix doc &amp; for sure #TheLateShow was ju…"
22,Alllwftopic,Everywhere,"RT @royal_suitor: TKMaxx: We don’t do sales. 

TK Maxx: Hope you’re loving the January sales. Don’t miss our clearance items.

Ain’t you ti…"
23,sapnachirps,"Washington, DC","Also, (im)patiently waiting for The Bee and The Wasp to be identified.  

#Spare"
24,louisestilgoe,Lanson,"RT @colbertlateshow: ""Without a doubt, the most dangerous lie that they have told, is that I somehow boasted about the number of people I k…"
25,Wpoptruth,,"RT @jade_obscure: Well, the the #TKMaxx UK Retail Director's LinkedIn pic is ... one of him with #KingCharlesTheCruel 😂. And TK Maxx are in…"
26,Coddiwomple1,,"RT @duchessofpoms: The fabulous homes of British Royal “spares” :

Royal lodge (Prince Andrew), bagshot park (Prince Edward), nott’s cottag…"
27,AishaRaihanna,,RT @JaJaFaRah1: They want people to focus on ridiculous things like “sales/bargains”; let’s focus on the behavior of his so called “family”…
28,RachelT95511873,,RT @totallyninja: The fact that bottom feeders like Piers Morgan and Megyn Kelly are both working ovetime on the rage train against Harry a…
29,namastemamasita,,"RT @NicsuPR: … “I couldn’t think of a single human being in the 300,000 year history of the species who’d done more damage to our collectiv…"
30,suzyshine7,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
31,shaunakavanagh_,"Dublin City, Ireland",RT @royal_suitor: Of course he found the @colbertlateshow audience member during the break and gave her a hug. This is Prince Harry. 🤗 #Spa…
32,EmmaUdo8,,"RT @HartDaisy1: @Independent Well done for proving everything Prince Harry said about the British media!

You should be ashamed of yourselv…"
33,LilHay,"Manchester, England",RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
34,TeeMichelle57,"Florida, US","RT @SussexsquadP: Finished #Spare. My tears, barely kept at bay, from the 1st word to the end when Harry insisted on bringing Lili into the…"
35,Lashesxx,,"RT @WillsWindsor: Due to the success of #Spare I will also be publishing my memoir titled #Hair detailing my familiar scowl, my alarming ba…"
36,JasonVa28657132,,I wouldn't put it past the #ToxicBritishMedia to make up that whole TK Maxx denial just so they could bash Prince H… https://t.co/4EO88My54n
37,Alllwftopic,Everywhere,RT @royal_suitor: Yes Prince Harry really shopped at TK Maxx. This is similar to the story about his military service. What was a tabloid e…
38,Patrici81460203,,"RT @DuchessJRM: Excellent article @LauraSlattery #theirishtimes 
  
#PrinceHarry #Spare 

‘That’s why, when Prince Harry was all too quiet,…"
39,jellybean1934,,"RT @NicsuPR: … “I couldn’t think of a single human being in the 300,000 year history of the species who’d done more damage to our collectiv…"
40,mywinterforest,United Kingdom,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
41,cklovexoxo,,"RT @Mrs_K_Suleiman: I believe that #PrinceWilliamIsABully lied about Camilla leaking the ‘who made who cry nonsense story’ 

He did that to…"
42,Karenknowsbest,Green Gables,"RT @BGWritesStuff: So let's NOT with this idea of ""the American woman is the gold digger"" because she not only had her OWN money but they w…"
43,OBXJEN,"Ohio, USA","RT @colbertlateshow: ""Without a doubt, the most dangerous lie that they have told, is that I somehow boasted about the number of people I k…"
44,LysaLuvsAmerica,,"RT @BRFguards: ‼️FACT-CHECKING
#Spare INCONSISTENCIES

[“We’ve never had flights between Mexico and the UK. And we only have Business Premi…"
45,KurtHewitt,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
46,GregCrone,"Crone County, Ontario",@danwootton @GBNEWS @RealCandaceO Sounds like fair and unbiased reporting.  Whatever does Harry have to complain about? #spare
47,bobbynorwich22,Beautiful Fly Over Country,RT @Aditiya_renee: Finished #Spare ....thoughts 1. UK is thoroughly fucked if their monarch and heir is beholden to you know who to this le…
48,canttbetamedg,,"RT @canttbetamedg: If the #ToxicBritishMedia weren't so busy bashing Meghan, they may have noticed that Pope Francis promoted priests who c…"
49,mjanetj,uk,"RT @DBrown99944: So in his zeal to find veterans to bash #PrinceHarry chief stalker, Piers Morgan brought on none other than the man who ki…"
50,kkagwi,,RT @Davidls6: Got to say l think there is a strong element of Harry looking after his Mum with the Camilla comments. Unlike William who jus…
51,KatherinePutn12,,"RT @colbertlateshow: ""Without a doubt, the most dangerous lie that they have told, is that I somehow boasted about the number of people I k…"
52,MewllerRobert,"Oakland, CA",RT @royal_suitor: ““Before I could even take them out of the box I had people coming into the store looking for copies.” Mulroney said they…
53,jackiejfrancois,"Baldwin Harbor, NY",RT @KaindeB: The UK media needs to check their facts before spreading misinformation about Prince Harry. #Spare #SparebyPrinceHarry
54,ellemccormick10,,"RT @TribesBritannia: Meghan Markle fans are furious that it’s been exposed that Doria Ragland was a drug dealer. 

#Spare"
55,Hazel15334825,"Whickham,Tyne and Wear England",RT @pinkcakecream: For those who love history and enjoyed #Spare you would appreciate this book that breaks down how Pope Francis promoted…
56,MarciaNess1,"Seattle, WA","RT @NicsuPR: According to the #ToxicBritishMedia, #Spare is an all out attack by #PrinceHarry against the #RoyalFamily when, in fact, his s…"
57,Onlymee100,Europe,"RT @MissWrite: The British Media seems to think they own the narrative, but boy does Harry now own them. #spare #PrinceHarrySpare"
58,epollaert,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
59,Darmstro21,,"RT @kwh_1960: @Independent Same TK Maxx that tweeted about Prince Harry spotted bargain shopping at their store??

Are any Brit journalists…"
60,bobbybmanxnet1,,RT @Freedom16356531: #PrinceHarry says this is the other side of the story “My Truth” talking about private details and present them as fac…
61,pcyipturner,,"RT @byetwit: Just remember the pearl clutchers who are ""shocked"" by the revelations  in #PrinceHarry's moving memoir-#Spare 

weren't ""shoc…"
62,Little30489810,"Lemoges,France (previously uk)",RT @JoDivaRunner: Harry injured his knee participating in military exercises while on Royal duty and his entry into the military had to be…
63,make_lemons,,It’s Here! #Spare https://t.co/D6RKiUnUSz
64,karkopolo,Ohio,"Finally finished reading #Spare. 

I have a lot of thoughts! None of them are very kind about that family. Mostly a… https://t.co/h6iv9ppySm"
65,Patrici81460203,,RT @wkjdance: @scobie Clearance means the BIGGEST Sale! As per this date will have F&amp;F never shop @TKMaxx_UK again. #Spare #sparebyharry #🥇
66,Frannn__xo,❌,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
67,Darmstro21,,"RT @HartDaisy1: @Independent Well done for proving everything Prince Harry said about the British media!

You should be ashamed of yourselv…"
68,sofia79329547,"London, England","RT @Mrs_K_Suleiman: #Spare is open people eyes about the nasty family and rabid tabloids 

#PrinceHarry 🤗🤗😍😍

https://t.co/NHSEd2yKhk"
69,Viv_Uz5,,"RT @jade_obscure: Well, the the #TKMaxx UK Retail Director's LinkedIn pic is ... one of him with #KingCharlesTheCruel 😂. And TK Maxx are in…"
70,JoziBillie,South Africa,RT @Aditiya_renee: Finished #Spare ....thoughts 1. UK is thoroughly fucked if their monarch and heir is beholden to you know who to this le…
71,bobbynorwich22,Beautiful Fly Over Country,RT @yoon_strawberry: I gained more respect and admiration for Prince Harry after reading #Spare. I have yet to finish the book but so far w…
72,Patrici81460203,,RT @snap_happy_40: @MailOnline The #ToxicBritishMedia comes out the worst in #PrinceHarrySpare #Spare #sparebyharry
73,jeanne_gelbert,"Anna Maria Island, Florida","RT @anna_itsonlyme: British media embarrassing themselves every day 😂🤣
 
Telegraph: the book would need to sell 1.7 Million copies worldwid…"
74,anycuervob,Bogotá ,"RT @enfasisnoticias: #Espectaculos
Conoce el libro que está rompiendo récord en ventas del Príncipe Harry
https://t.co/dfxNzpiJhk 
#Princip…"
75,cosmgr20,,RT @royal_suitor: Of course he found the @colbertlateshow audience member during the break and gave her a hug. This is Prince Harry. 🤗 #Spa…
76,drachenovska,La Terra,RT @royal_suitor: ““Before I could even take them out of the box I had people coming into the store looking for copies.” Mulroney said they…
77,alice_fearn,"London, UK",RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
78,UhiereEbite,,"I’m so happy Harry wrote #Spare to set the record straight. 

It’s shameful how @RoyalFamily and @KensingtonRoyal l… https://t.co/SRKKHR6jlS"
79,Patrici81460203,,RT @OnlyTokin: PSA- I just read that the £12m #PrinceAndrew NDA finishes in February. Time to start mining for facts and spare the #Spare f…
80,MewllerRobert,"Oakland, CA","RT @Mu_Ri_Elle: (Video in French)

#PrinceHarry's book is a bestseller in France 🇫🇷 

- #Spare is selling 20% more than Barack Obama's memo…"
81,ZaffranRiver,Earth,"RT @nomoremonarchs: William &amp; Kate are putting ""a spotlight"" on mental health today. They pretend to care &amp; tell people to get help. But th…"
82,nikki_roberts,Mid Devon,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
83,jen_ney_sayqa,Earth.,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
84,jadegarin2,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
85,MewllerRobert,"Oakland, CA",RT @royal_suitor: #Spare’s 1st print run in France was 210K books. French publisher Fayard has already sent an additional 130K to print bas…
86,Mad_Houri,,#PrinceHarry #Spare https://t.co/0LzT59KUT0
87,LalanieNyc,NYC,"RT @kwh_1960: @Independent Same TK Maxx that tweeted about Prince Harry spotted bargain shopping at their store??

Are any Brit journalists…"
88,bobbynorwich22,Beautiful Fly Over Country,"RT @MissWrite: The British Media seems to think they own the narrative, but boy does Harry now own them. #spare #PrinceHarrySpare"
89,mccarthyest22,London,I bought #𝐬𝐩𝐚𝐫𝐞𝐛𝐲𝐡𝐚𝐫𝐫𝐲 today 12/01/2023 from WH Smith - London Bridge at 𝐇𝐚𝐥𝐟-𝐏𝐫𝐢𝐜𝐞. I already had Diana - Her True… https://t.co/1zXuVp94hm
90,Patrici81460203,,RT @SMcCallum93: This is child abuse. Illustrates vividly the reductionist mindset infused within the British Royal Family - that children…
91,bobbynorwich22,Beautiful Fly Over Country,"RT @yoon_strawberry: I love the part of their first Botswana date when Meghan was opening her suitcase, Harry stereotyped and thought that…"
92,AmazingSoniaa,,"RT @TvKhaleesi: The 1.43 million copies of the #Spare sold in a single day was just the English-version. As you all know, the British media…"
93,cjparke06088096,,"RT @NicsuPR: … “I couldn’t think of a single human being in the 300,000 year history of the species who’d done more damage to our collectiv…"
94,cryptoFanatic28,Republic of the Philippines,"RT @crowndefensx: In AWE of their ability to just keep calm, weather the storm, say nothing and carry on.
The grit, resolve and mental stre…"
95,Carol31869961,,RT @RoyaNikkhah: King Charles in his first public appearance since publication of Prince Harry’s #Spare. Charles is visiting Aboyne and Mid…
96,Patrici81460203,,"RT @Solar_particle: Go Harry ❤️
#Spare #HarryandMegan https://t.co/szeLaoRgSd"
97,UtopiaLibera,United Kingdom,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
98,reggie_saxton,,"RT @Freedom16356531: #PrinceHarry we can tell which parts of #Spare is written by a woman, it’s very obvious. 

#SpareUs is how #MeghanMark…"
99,blk_dahlia2,"Seattle, WA","RT @LittleFootLady: 📠

#GoodKingHarry #Spare"
100,Patrici81460203,,RT @whosphobic: Not me sniffling my way through the final 2 chapters and Epilogue of #Spare 🥺
101,KarylStratton,"Gold Coast, Queensland",RT @Freedom16356531: #PrinceHarry says this is the other side of the story “My Truth” talking about private details and present them as fac…
102,bobbynorwich22,Beautiful Fly Over Country,RT @TudorChick1501: It’s becoming glaringly obvious that some people prefer a quiet prince involved in underage sex trafficking than a voca…
103,TanitoElRoi,Earth,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
104,C_Moni,,RT @brewerelac: So now Camilla @RoyalFamily is instructing her bots to go after Doria Ragland? I'm ashamed to be British right now. Just be…
105,lukelinchen,"Köln, Deutschland","RT @geanina_iosub: Caroline Flack's former publicist speaks out about #PrinceHarry's mention of her in his book #Spare 

Credit: apmmediagr…"
106,TheRealDealDoS,,"RT @yoon_strawberry: I love the part of their first Botswana date when Meghan was opening her suitcase, Harry stereotyped and thought that…"
107,manitoucom,,"RT @chrisshipitv: “Have you had the chance to read your brother's book at all?”
As they’re about to leave @theODCharity - the second of the…"
108,MawandaAllan10,"Johannesburg, South Africa","RT @Lady_Fel: @JRMoehringer Chapeau, sir, and pass it on to Harry, too ❤️

It's heartbreaking and funny and introspective, I've had to take…"
